
***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[81]	81	Magnemite               	Electric  	25    	35	70
[82]	82	Magneton                	Electric  	50    	60	95
[83]	83	Farfetch'd              	Normal    	52    	65	55
[84]	84	Doduo                   	Normal    	35    	85	45
[85]	85	Dodrio                  	Normal    	60    	110	70
[86]	86	Seel                    	Water     	65    	45	55
[87]	87	Dewgong                 	Water     	90    	70	80
[88]	88	Grimer                  	Poison    	80    	80	50
[89]	89	Muk                     	Poison    	105   	105	75
[90]	90	Shellder                	Water     	30    	65	100
[91]	91	Cloyster                	Water     	50    	95	180
[92]	92	Gastly                  	Ghost     	30    	35	30
[93]	93	Haunter                 	Ghost     	45    	50	45
[94]	94	Gengar                  	Ghost     	60    	65	60
[95]	95	Onix                    	Rock      	35    	45	160
[96]	96	Drowzee                 	Psychic   	60    	48	45
[97]	97	Hypno                   	Psychic   	85    	73	70
[98]	98	Krabby                  	Water     	30    	105	90
[99]	99	Kingler                 	Water     	55    	130	115
[100]	100	Voltorb                 	Electric  	40    	30	50
[101]	101	Electrode               	Electric  	60    	50	70
[102]	102	Exeggcute               	Grass     	60    	40	80
[103]	103	Exeggutor               	Grass     	95    	95	85
[104]	104	Cubone                  	Ground    	50    	50	95
[105]	105	Marowak                 	Ground    	60    	80	110
[106]	106	Hitmonlee               	Fighting  	50    	120	53
[107]	107	Hitmonchan              	Fighting  	50    	105	79
[108]	108	Lickitung               	Normal    	90    	55	75
[109]	109	Koffing                 	Poison    	40    	65	95
[110]	110	Weezing                 	Poison    	65    	90	120
[111]	111	Rhyhorn                 	Ground    	80    	85	95
[112]	112	Rhydon                  	Ground    	105   	130	120
[113]	113	Chansey                 	Normal    	250   	5	5
[114]	114	Tangela                 	Grass     	65    	55	115
[115]	115	Kangaskhan              	Normal    	105   	95	80
[116]	116	Horsea                  	Water     	30    	40	70
[117]	117	Seadra                  	Water     	55    	65	95
[118]	118	Goldeen                 	Water     	45    	67	60
[119]	119	Seaking                 	Water     	80    	92	65
[120]	120	Staryu                  	Water     	30    	45	55
[121]	121	Starmie                 	Water     	60    	75	85
[122]	122	Mr. Mime                	Psychic   	40    	45	65
[123]	123	Scyther                 	Bug       	70    	110	80
[124]	124	Jynx                    	Ice       	65    	50	35
[125]	125	Electabuzz              	Electric  	65    	83	57
[126]	126	Magmar                  	Fire      	65    	95	57
[127]	127	Pinsir                  	Bug       	65    	125	100
[128]	128	Tauros                  	Normal    	75    	100	95
[129]	129	Magikarp                	Water     	20    	10	55
[130]	130	Gyarados                	Water     	95    	125	79
[131]	131	Lapras                  	Water     	130   	85	80
[132]	132	Ditto                   	Normal    	48    	48	48
[133]	133	Eevee                   	Normal    	55    	55	50
[134]	134	Vaporeon                	Water     	130   	65	60
[135]	135	Jolteon                 	Electric  	65    	65	60
[136]	136	Flareon                 	Fire      	65    	130	60
[137]	137	Porygon                 	Normal    	65    	60	70
[138]	138	Omanyte                 	Rock      	35    	40	100
[139]	139	Omastar                 	Rock      	70    	60	125
[140]	140	Kabuto                  	Rock      	30    	80	90
[141]	141	Kabutops                	Rock      	60    	115	105
[142]	142	Aerodactyl              	Rock      	80    	105	65
[143]	143	Snorlax                 	Normal    	160   	110	65
[144]	144	Articuno                	Ice       	90    	85	100
[145]	145	Zapdos                  	Electric  	90    	90	85
[146]	146	Moltres                 	Fire      	90    	100	90
[147]	147	Dratini                 	Dragon    	41    	64	45
[148]	148	Dragonair               	Dragon    	61    	84	65
[149]	149	Dragonite               	Dragon    	91    	134	95
[150]	150	Mewtwo                  	Psychic   	106   	110	90
[151]	151	Mew                     	Psychic   	100   	100	100
[152]	152	Chikorita               	Grass     	45    	49	65
[153]	153	Bayleef                 	Grass     	60    	62	80
[154]	154	Meganium                	Grass     	80    	82	100
[155]	155	Cyndaquil               	Fire      	39    	52	43
[156]	156	Quilava                 	Fire      	58    	64	58
[157]	157	Typhlosion              	Fire      	78    	84	78
[158]	158	Totodile                	Water     	50    	65	64
[159]	159	Croconaw                	Water     	65    	80	80
[160]	160	Feraligatr              	Water     	85    	105	100
[161]	161	Sentret                 	Normal    	35    	46	34
[162]	162	Furret                  	Normal    	85    	76	64
[163]	163	Hoothoot                	Normal    	60    	30	30
[164]	164	Noctowl                 	Normal    	100   	50	50
[165]	165	Ledyba                  	Bug       	40    	20	30
[166]	166	Ledian                  	Bug       	55    	35	50
[167]	167	Spinarak                	Bug       	40    	60	40
[168]	168	Ariados                 	Bug       	70    	90	70
[169]	169	Crobat                  	Poison    	85    	90	80
[170]	170	Chinchou                	Water     	75    	38	38
[171]	171	Lanturn                 	Water     	125   	58	58
[172]	172	Pichu                   	Electric  	20    	40	15
[173]	173	Cleffa                  	Fairy     	50    	25	28
[174]	174	Igglybuff               	Normal    	90    	30	15
[175]	175	Togepi                  	Fairy     	35    	20	65
[176]	176	Togetic                 	Fairy     	55    	40	85
[177]	177	Natu                    	Psychic   	40    	50	45
[178]	178	Xatu                    	Psychic   	65    	75	70
[179]	179	Mareep                  	Electric  	55    	40	40
[180]	180	Flaaffy                 	Electric  	70    	55	55
[181]	181	Ampharos                	Electric  	90    	75	85
[182]	182	Bellossom               	Grass     	75    	80	95
[183]	183	Marill                  	Water     	70    	20	50
[184]	184	Azumarill               	Water     	100   	50	80
[185]	185	Sudowoodo               	Rock      	70    	100	115
[186]	186	Politoed                	Water     	90    	75	75
[187]	187	Hoppip                  	Grass     	35    	35	40
[188]	188	Skiploom                	Grass     	55    	45	50
[189]	189	Jumpluff                	Grass     	75    	55	70
[190]	190	Aipom                   	Normal    	55    	70	55
[191]	191	Sunkern                 	Grass     	30    	30	30
[192]	192	Sunflora                	Grass     	75    	75	55
[193]	193	Yanma                   	Bug       	65    	65	45
[194]	194	Wooper                  	Water     	55    	45	45
[195]	195	Quagsire                	Water     	95    	85	85
[196]	196	Espeon                  	Psychic   	65    	65	60
[197]	197	Umbreon                 	Dark      	95    	65	110
[198]	198	Murkrow                 	Dark      	60    	85	42
[199]	199	Slowking                	Water     	95    	75	80
[200]	200	Misdreavus              	Ghost     	60    	60	60
[201]	201	Unown                   	Psychic   	48    	72	48
[202]	202	Wobbuffet               	Psychic   	190   	33	58
[203]	203	Girafarig               	Normal    	70    	80	65
[204]	204	Pineco                  	Bug       	50    	65	90
[205]	205	Forretress              	Bug       	75    	90	140
[206]	206	Dunsparce               	Normal    	100   	70	70
[207]	207	Gligar                  	Ground    	65    	75	105
[208]	208	Steelix                 	Steel     	75    	85	200
[209]	209	Snubbull                	Fairy     	60    	80	50
[210]	210	Granbull                	Fairy     	90    	120	75
[211]	211	Qwilfish                	Water     	65    	95	75
[212]	212	Scizor                  	Bug       	70    	130	100
[213]	213	Shuckle                 	Bug       	20    	10	230
[214]	214	Heracross               	Bug       	80    	125	75
[215]	215	Sneasel                 	Dark      	55    	95	55
[216]	216	Teddiursa               	Normal    	60    	80	50
[217]	217	Ursaring                	Normal    	90    	130	75
[218]	218	Slugma                  	Fire      	40    	40	40
[219]	219	Magcargo                	Fire      	50    	50	120
[220]	220	Swinub                  	Ice       	50    	50	40
[221]	221	Piloswine               	Ice       	100   	100	80
[222]	222	Corsola                 	Water     	55    	55	85
[223]	223	Remoraid                	Water     	35    	65	35
[224]	224	Octillery               	Water     	75    	105	75
[225]	225	Delibird                	Ice       	45    	55	45
[226]	226	Mantine                 	Water     	65    	40	70
[227]	227	Skarmory                	Steel     	65    	80	140
[228]	228	Houndour                	Dark      	45    	60	30
[229]	229	Houndoom                	Dark      	75    	90	50
[230]	230	Kingdra                 	Water     	75    	95	95
[231]	231	Phanpy                  	Ground    	90    	60	60
[232]	232	Donphan                 	Ground    	90    	120	120
[233]	233	Porygon2                	Normal    	85    	80	90
[234]	234	Stantler                	Normal    	73    	95	62
[235]	235	Smeargle                	Normal    	55    	20	35
[236]	236	Tyrogue                 	Fighting  	35    	35	35
[237]	237	Hitmontop               	Fighting  	50    	95	95
[238]	238	Smoochum                	Ice       	45    	30	15
[239]	239	Elekid                  	Electric  	45    	63	37
[240]	240	Magby                   	Fire      	45    	75	37
[241]	241	Miltank                 	Normal    	95    	80	105
[242]	242	Blissey                 	Normal    	255   	10	10
[243]	243	Raikou                  	Electric  	90    	85	75
[244]	244	Entei                   	Fire      	115   	115	85
[245]	245	Suicune                 	Water     	100   	75	115
[246]	246	Larvitar                	Rock      	50    	64	50
[247]	247	Pupitar                 	Rock      	70    	84	70
[248]	248	Tyranitar               	Rock      	100   	134	110
[249]	249	Lugia                   	Psychic   	106   	90	130
[250]	250	Ho-oh                   	Fire      	106   	130	90
HP tree height = 11
Leftmost node: 
[50]	50	Diglett                 	Ground    	10    	55	25
Rightmost node: 
[242]	242	Blissey                 	Normal    	255   	10	10

***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[ 1]	1	Bulbasaur               	Grass     	45    	49	49
[ 2]	3	Venusaur                	Grass     	80    	82	83
[ 3]	5	Charmeleon              	Fire      	58    	64	58
[ 4]	7	Squirtle                	Water     	44    	48	65
[ 5]	9	Blastoise               	Water     	79    	83	100
[ 6]	11	Metapod                 	Bug       	50    	20	55
[ 7]	13	Weedle                  	Bug       	40    	35	30
[ 8]	15	Beedrill                	Bug       	65    	90	40
[ 9]	17	Pidgeotto               	Normal    	63    	60	55
[10]	19	Rattata                 	Normal    	30    	56	35
[11]	21	Spearow                 	Normal    	40    	60	30
[12]	23	Ekans                   	Poison    	35    	60	44
[13]	25	Pikachu                 	Electric  	35    	55	40
[14]	27	Sandshrew               	Ground    	50    	75	85
[15]	29	Nidoran€                	Poison    	55    	47	52
[16]	31	Nidoqueen               	Poison    	90    	92	87
[17]	33	Nidorino                	Poison    	61    	72	57
[18]	35	Clefairy                	Fairy     	70    	45	48
[19]	37	Vulpix                  	Fire      	38    	41	40
[20]	39	Jigglypuff              	Normal    	115   	45	20
[21]	41	Zubat                   	Poison    	40    	45	35
[22]	43	Oddish                  	Grass     	45    	50	55
[23]	45	Vileplume               	Grass     	75    	80	85
[24]	47	Parasect                	Bug       	60    	95	80
[25]	49	Venomoth                	Bug       	70    	65	60
[26]	51	Dugtrio                 	Ground    	35    	80	50
[27]	53	Persian                 	Normal    	65    	70	60
[28]	55	Golduck                 	Water     	80    	82	78
[29]	57	Primeape                	Fighting  	65    	105	60
[30]	59	Arcanine                	Fire      	90    	110	80
[31]	61	Poliwhirl               	Water     	65    	65	65
[32]	63	Abra                    	Psychic   	25    	20	15
[33]	65	Alakazam                	Psychic   	55    	50	45
[34]	67	Machoke                 	Fighting  	80    	100	70
[35]	69	Bellsprout              	Grass     	50    	75	35
[36]	71	Victreebel              	Grass     	80    	105	65
[37]	73	Tentacruel              	Water     	80    	70	65
[38]	75	Graveler                	Rock      	55    	95	115
[39]	77	Ponyta                  	Fire      	50    	85	55
[40]	79	Slowpoke                	Water     	90    	65	65
[41]	81	Magnemite               	Electric  	25    	35	70
[42]	83	Farfetch'd              	Normal    	52    	65	55
[43]	85	Dodrio                  	Normal    	60    	110	70
[44]	87	Dewgong                 	Water     	90    	70	80
[45]	89	Muk                     	Poison    	105   	105	75
[46]	91	Cloyster                	Water     	50    	95	180
[47]	93	Haunter                 	Ghost     	45    	50	45
[48]	95	Onix                    	Rock      	35    	45	160
[49]	97	Hypno                   	Psychic   	85    	73	70
[50]	99	Kingler                 	Water     	55    	130	115
[51]	101	Electrode               	Electric  	60    	50	70
[52]	103	Exeggutor               	Grass     	95    	95	85
[53]	105	Marowak                 	Ground    	60    	80	110
[54]	107	Hitmonchan              	Fighting  	50    	105	79
[55]	109	Koffing                 	Poison    	40    	65	95
[56]	111	Rhyhorn                 	Ground    	80    	85	95
[57]	113	Chansey                 	Normal    	250   	5	5
[58]	115	Kangaskhan              	Normal    	105   	95	80
[59]	117	Seadra                  	Water     	55    	65	95
[60]	119	Seaking                 	Water     	80    	92	65
[61]	121	Starmie                 	Water     	60    	75	85
[62]	123	Scyther                 	Bug       	70    	110	80
[63]	125	Electabuzz              	Electric  	65    	83	57
[64]	127	Pinsir                  	Bug       	65    	125	100
[65]	129	Magikarp                	Water     	20    	10	55
[66]	131	Lapras                  	Water     	130   	85	80
[67]	133	Eevee                   	Normal    	55    	55	50
[68]	135	Jolteon                 	Electric  	65    	65	60
[69]	137	Porygon                 	Normal    	65    	60	70
[70]	139	Omastar                 	Rock      	70    	60	125
[71]	141	Kabutops                	Rock      	60    	115	105
[72]	143	Snorlax                 	Normal    	160   	110	65
[73]	145	Zapdos                  	Electric  	90    	90	85
[74]	147	Dratini                 	Dragon    	41    	64	45
[75]	149	Dragonite               	Dragon    	91    	134	95
[76]	151	Mew                     	Psychic   	100   	100	100
[77]	153	Bayleef                 	Grass     	60    	62	80
[78]	155	Cyndaquil               	Fire      	39    	52	43
[79]	157	Typhlosion              	Fire      	78    	84	78
[80]	159	Croconaw                	Water     	65    	80	80
[81]	161	Sentret                 	Normal    	35    	46	34
[82]	163	Hoothoot                	Normal    	60    	30	30
[83]	165	Ledyba                  	Bug       	40    	20	30
[84]	167	Spinarak                	Bug       	40    	60	40
[85]	169	Crobat                  	Poison    	85    	90	80
[86]	171	Lanturn                 	Water     	125   	58	58
[87]	173	Cleffa                  	Fairy     	50    	25	28
[88]	175	Togepi                  	Fairy     	35    	20	65
[89]	177	Natu                    	Psychic   	40    	50	45
[90]	179	Mareep                  	Electric  	55    	40	40
[91]	181	Ampharos                	Electric  	90    	75	85
[92]	183	Marill                  	Water     	70    	20	50
[93]	185	Sudowoodo               	Rock      	70    	100	115
[94]	187	Hoppip                  	Grass     	35    	35	40
[95]	189	Jumpluff                	Grass     	75    	55	70
[96]	191	Sunkern                 	Grass     	30    	30	30
[97]	193	Yanma                   	Bug       	65    	65	45
[98]	195	Quagsire                	Water     	95    	85	85
[99]	197	Umbreon                 	Dark      	95    	65	110
[100]	199	Slowking                	Water     	95    	75	80
[101]	201	Unown                   	Psychic   	48    	72	48
[102]	203	Girafarig               	Normal    	70    	80	65
[103]	205	Forretress              	Bug       	75    	90	140
[104]	207	Gligar                  	Ground    	65    	75	105
[105]	209	Snubbull                	Fairy     	60    	80	50
[106]	211	Qwilfish                	Water     	65    	95	75
[107]	213	Shuckle                 	Bug       	20    	10	230
[108]	215	Sneasel                 	Dark      	55    	95	55
[109]	217	Ursaring                	Normal    	90    	130	75
[110]	219	Magcargo                	Fire      	50    	50	120
[111]	221	Piloswine               	Ice       	100   	100	80
[112]	223	Remoraid                	Water     	35    	65	35
[113]	225	Delibird                	Ice       	45    	55	45
[114]	227	Skarmory                	Steel     	65    	80	140
[115]	229	Houndoom                	Dark      	75    	90	50
[116]	231	Phanpy                  	Ground    	90    	60	60
[117]	233	Porygon2                	Normal    	85    	80	90
[118]	235	Smeargle                	Normal    	55    	20	35
[119]	237	Hitmontop               	Fighting  	50    	95	95
[120]	239	Elekid                  	Electric  	45    	63	37
[121]	241	Miltank                 	Normal    	95    	80	105
[122]	243	Raikou                  	Electric  	90    	85	75
[123]	245	Suicune                 	Water     	100   	75	115
[124]	247	Pupitar                 	Rock      	70    	84	70
[125]	249	Lugia                   	Psychic   	106   	90	130
[126]	251	Celebi                  	Psychic   	100   	100	100
[127]	253	Grovyle                 	Grass     	50    	65	45
[128]	255	Torchic                 	Fire      	45    	60	40
[129]	257	Blaziken                	Fire      	80    	120	70
[130]	259	Marshtomp               	Water     	70    	85	70
[131]	261	Poochyena               	Dark      	35    	55	35
[132]	263	Zigzagoon               	Normal    	38    	30	41
[133]	265	Wurmple                 	Bug       	45    	45	35
[134]	267	Beautifly               	Bug       	60    	70	50
[135]	269	Dustox                  	Bug       	60    	50	70
[136]	271	Lombre                  	Water     	60    	50	50
[137]	273	Seedot                  	Grass     	40    	40	50
[138]	275	Shiftry                 	Grass     	90    	100	60
[139]	277	Swellow                 	Normal    	60    	85	60
[140]	279	Pelipper                	Water     	60    	50	100
[141]	281	Kirlia                  	Psychic   	38    	35	35
[142]	283	Surskit                 	Bug       	40    	30	32
[143]	285	Shroomish               	Grass     	60    	40	60
[144]	287	Slakoth                 	Normal    	60    	60	60
[145]	289	Slaking                 	Normal    	150   	160	100
[146]	291	Ninjask                 	Bug       	61    	90	45
[147]	293	Whismur                 	Normal    	64    	51	23
[148]	295	Exploud                 	Normal    	104   	91	63
[149]	297	Hariyama                	Fighting  	144   	120	60
[150]	299	Nosepass                	Rock      	30    	45	135
HP tree height = 9
Leftmost node: 
[65]	129	Magikarp                	Water     	20    	10	55
[107]	213	Shuckle                 	Bug       	20    	10	230
Rightmost node: 
[57]	113	Chansey                 	Normal    	250   	5	5

***** Pokemon Tree and Heap *****
* 0. QUIT                       *
* 1. Read a file to build BST   *
* 2. Transform it into Max Heap *
*********************************
Input a choice(0, 1, 2): 
Input a file number [0: quit]: 	#	Name                    	Type 1    	HP	Attack	Defense
[ 1]	201	Unown                   	Psychic   	1     	72	48
[ 2]	202	Wobbuffet               	Psychic   	190   	33	58
[ 3]	203	Girafarig               	Normal    	70    	80	65
[ 4]	204	Pineco                  	Bug       	50    	65	90
[ 5]	205	Forretress              	Bug       	75    	90	140
[ 6]	206	Dunsparce               	Normal    	100   	70	70
[ 7]	207	Gligar                  	Ground    	65    	75	105
[ 8]	208	Steelix                 	Steel     	75    	85	200
[ 9]	209	Snubbull                	Fairy     	60    	80	50
[10]	210	Granbull                	Fairy     	90    	120	75
[11]	211	Qwilfish                	Water     	65    	95	75
[12]	212	Scizor                  	Bug       	70    	130	100
[13]	213	Shuckle                 	Bug       	20    	10	230
[14]	214	Heracross               	Bug       	80    	125	75
[15]	215	Sneasel                 	Dark      	55    	95	55
[16]	216	Teddiursa               	Normal    	60    	80	50
[17]	217	Ursaring                	Normal    	90    	130	75
[18]	218	Slugma                  	Fire      	40    	40	40
[19]	219	Magcargo                	Fire      	50    	50	120
[20]	220	Swinub                  	Ice       	50    	50	40
[21]	221	Piloswine               	Ice       	100   	100	80
[22]	222	Corsola                 	Water     	55    	55	85
[23]	223	Remoraid                	Water     	35    	65	35
[24]	224	Octillery               	Water     	75    	105	75
[25]	225	Delibird                	Ice       	45    	55	45
[26]	226	Mantine                 	Water     	65    	40	70
[27]	227	Skarmory                	Steel     	65    	80	140
[28]	228	Houndour                	Dark      	45    	60	30
[29]	229	Houndoom                	Dark      	75    	90	50
[30]	230	Kingdra                 	Water     	75    	95	95
[31]	231	Phanpy                  	Ground    	90    	60	60
[32]	232	Donphan                 	Ground    	90    	120	120
[33]	233	Porygon2                	Normal    	85    	80	90
[34]	234	Stantler                	Normal    	73    	95	62
[35]	235	Smeargle                	Normal    	55    	20	35
[36]	236	Tyrogue                 	Fighting  	35    	35	35
[37]	237	Hitmontop               	Fighting  	50    	95	95
[38]	238	Smoochum                	Ice       	45    	30	15
[39]	239	Elekid                  	Electric  	45    	63	37
[40]	240	Magby                   	Fire      	45    	75	37
[41]	241	Miltank                 	Normal    	95    	80	105
[42]	242	Blissey                 	Normal    	255   	10	10
[43]	243	Raikou                  	Electric  	90    	85	75
[44]	244	Entei                   	Fire      	115   	115	85
[45]	245	Suicune                 	Water     	100   	75	115
[46]	246	Larvitar                	Rock      	50    	64	50
[47]	247	Pupitar                 	Rock      	70    	84	70
[48]	248	Tyranitar               	Rock      	100   	134	110
[49]	249	Lugia                   	Psychic   	106   	90	130
[50]	250	Ho-oh                   	Fire      	106   	130	90
[51]	251	Celebi                  	Psychic   	100   	100	100
[52]	252	Treecko                 	Grass     	40    	45	35
[53]	253	Grovyle                 	Grass     	50    	65	45
[54]	254	Sceptile                	Grass     	70    	85	65
[55]	255	Torchic                 	Fire      	45    	60	40
[56]	256	Combusken               	Fire      	60    	85	60
[57]	257	Blaziken                	Fire      	80    	120	70
[58]	258	Mudkip                  	Water     	50    	70	50
[59]	259	Marshtomp               	Water     	70    	85	70
[60]	260	Swampert                	Water     	100   	110	90
[61]	261	Poochyena               	Dark      	35    	55	35
[62]	262	Mightyena               	Dark      	70    	90	70
[63]	263	Zigzagoon               	Normal    	38    	30	41
[64]	264	Linoone                 	Normal    	78    	70	61
[65]	265	Wurmple                 	Bug       	45    	45	35
[66]	266	Silcoon                 	Bug       	50    	35	55
[67]	267	Beautifly               	Bug       	60    	70	50
[68]	268	Cascoon                 	Bug       	50    	35	55
[69]	269	Dustox                  	Bug       	60    	50	70
[70]	270	Lotad                   	Water     	40    	30	30
[71]	271	Lombre                  	Water     	60    	50	50
[72]	272	Ludicolo                	Water     	80    	70	70
[73]	273	Seedot                  	Grass     	40    	40	50
[74]	274	Nuzleaf                 	Grass     	70    	70	40
[75]	275	Shiftry                 	Grass     	90    	100	60
[76]	276	Taillow                 	Normal    	40    	55	30
[77]	277	Swellow                 	Normal    	60    	85	60
[78]	278	Wingull                 	Water     	40    	30	30
[79]	279	Pelipper                	Water     	60    	50	100
[80]	280	Ralts                   	Psychic   	28    	25	25
[81]	281	Kirlia                  	Psychic   	38    	35	35
[82]	282	Gardevoir               	Psychic   	68    	65	65
[83]	283	Surskit                 	Bug       	40    	30	32
[84]	284	Masquerain              	Bug       	70    	60	62
[85]	285	Shroomish               	Grass     	60    	40	60
[86]	286	Breloom                 	Grass     	60    	130	80
[87]	287	Slakoth                 	Normal    	60    	60	60
[88]	288	Vigoroth                	Normal    	80    	80	80
[89]	289	Slaking                 	Normal    	150   	160	100
[90]	290	Nincada                 	Bug       	31    	45	90
[91]	291	Ninjask                 	Bug       	61    	90	45
[92]	292	Shedinja                	Bug       	1     	90	45
[93]	293	Whismur                 	Normal    	64    	51	23
[94]	294	Loudred                 	Normal    	84    	71	43
[95]	295	Exploud                 	Normal    	104   	91	63
[96]	296	Makuhita                	Fighting  	72    	60	30
[97]	297	Hariyama                	Fighting  	144   	120	60
[98]	298	Azurill                 	Normal    	50    	20	40
[99]	299	Nosepass                	Rock      	30    	45	135
[100]	300	Skitty                  	Normal    	50    	45	45
[101]	301	Delcatty                	Normal    	70    	65	65
[102]	302	Sableye                 	Dark      	50    	75	75
[103]	303	Mawile                  	Steel     	50    	85	85
[104]	304	Aron                    	Steel     	50    	70	100
[105]	305	Lairon                  	Steel     	60    	90	140
